country,iso3,year,target,mortality_data,risk_factor_surveys,plan,tob_tax,smoke_free,graphic_warnings,tob_advert,tob_mass_media,alc_sales,alc_advert,alc_tax,salt,fat,child_food_marketing,milkcode,phys_mass_media,clinical_guide,cardio_therapies,total_imp,commercial_total
Slovak Republic,SVK,2017,0,1,0.5,0.5,1,0.5,1,0.5,0,0.5,0.5,0.5,NA,0,0,0.5,1,0.5,0,8.5,5
Slovak Republic,SVK,2019,1,1,0.5,0.5,1,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0,0.5,1,0.5,0,10.5,6
Slovak Republic,SVK,2022,1,1,0.5,1,1,0.5,1,0.5,0,0.5,0,0.5,0,1,0,0.5,1,1,NA,11,5.5
Slovenia,SVN,2015,0.5,1,1,0,0.5,0.5,0.5,0.5,NA,0.5,1,0.5,1,1,1,1,1,0.5,1,13,8
Slovenia,SVN,2017,0.5,1,0.5,1,1,0.5,0.5,0.5,0,0.5,1,0.5,1,1,1,0.5,1,1,1,14,8
Slovenia,SVN,2019,1,1,0.5,1,1,0.5,1,1,0.5,0.5,1,0,0.5,1,1,0.5,1,1,1,15,8.5
Slovenia,SVN,2022,1,1,0.5,1,1,0.5,1,1,0,0.5,1,0,1,1,1,0.5,1,1,1,15,8.5
Solomon Islands,SLB,2015,1,0,0.5,1,0,0.5,1,0.5,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,4.5,2
Solomon Islands,SLB,2017,1,0,1,1,0,0.5,1,0.5,NA,NA,NA,NA,0,0,0,0.5,0,0.5,0,6,2.5
Solomon Islands,SLB,2019,1,0,1,1,0,0.5,1,0.5,0,NA,NA,NA,0,0,0,0.5,0,0.5,0,6,2.5
Solomon Islands,SLB,2022,1,0.5,0.5,1,NR,0.5,1,0.5,0,NR,NR,NR,0,0,0,0.5,0,0.5,0,6,2.50
Somalia,SOM,2015,0,0,0,0,NA,0,0,0,NA,1,1,1,0,0,0,0,0,0,0,3,3
Somalia,SOM,2017,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,3
Somalia,SOM,2019,0,0,0.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3.5,3
Somalia,SOM,2022,0,0,0.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3.5,3
South Africa,ZAF,2015,1,0.5,0.5,0,0,0,0,0.5,NA,0.5,0.5,1,1,NA,NA,NA,1,NA,NA,6.5,3.5
South Africa,ZAF,2017,1,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0,0.5,1,1,1,1,0,0.5,NA,8.5,6
South Africa,ZAF,2019,1,1,0.5,0,0.5,0,0,0.5,0,0.5,0,1,0.5,0.5,0,1,1,1,NA,9,4.5
South Africa,ZAF,2022,1,1,0.5,0,0.5,0,0,0.5,0.5,0.5,0,1,0.5,0.5,1,1,0,1,NA,9.5,6
South Sudan,SSD,2015,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
South Sudan,SSD,2017,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,1,1
South Sudan,SSD,2019,1,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
South Sudan,SSD,2022,1,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.5,1.5
Spain,ESP,2015,0,1,1,0,0.5,1,0.5,1,NA,0.5,0.5,0,1,1,1,0,1,1,1,12,7
Spain,ESP,2017,0,1,0.5,1,1,1,0.5,1,0,0.5,0,0.5,1,1,1,0.5,1,1,1,13.5,8
Spain,ESP,2019,0,1,0.5,0,1,1,1,1,0,0.5,0.5,0,0.5,1,1,0.5,1,1,1,12.5,8
Spain,ESP,2022,0,1,0.5,1,1,1,1,1,0.5,0.5,0.5,0,0.5,1,1,0.5,1,1,1,14,8.5
Sri Lanka,LKA,2015,1,0.5,0.5,1,0.5,0.5,1,0.5,NA,0.5,0.5,1,0,0,0,1,1,0.5,0,10,5.5
Sri Lanka,LKA,2017,1,0.5,1,1,0.5,0.5,1,0.5,0,1,0.5,0.5,0,0,0,1,0,1,1,11,5.5
Sri Lanka,LKA,2019,1,0,1,1,0.5,0.5,1,0.5,NA,1,1,0.5,1,0,1,1,0,1,1,13,8
Sri Lanka,LKA,2022,1,0.5,0.5,1,1,0.5,1,0.5,0,1,1,0.5,1,0,0,0.5,1,1,0,12,7
Sudan,SDN,2015,0,0,0.5,0,0.5,0,0,0.5,NA,1,1,1,0,0,0,0,0,1,0,5.5,4
Sudan,SDN,2017,1,0,1,0,0.5,0,0,0.5,0,1,1,1,0,0,0,0.5,0,1,0,7.5,4.5
Sudan,SDN,2019,1,0,1,0.5,0.5,0,0,0.5,0,1,1,1,0,0,0,0.5,0,1,0,8,4.5
Sudan,SDN,2022,0,0,1,0,0.5,0,0,0.5,0,1,1,1,0,0,0,0.5,0,1,0,6.5,4.5
Suriname,SUR,2015,1,1,1,1,0,1,0.5,1,NA,0.5,0.5,0.5,0,0,0,0,1,0.5,NA,9.5,4
Suriname,SUR,2017,1,0.5,0.5,1,0.5,1,1,1,1,0,0,1,0,0,0,0,1,0.5,0,10,5.5
Suriname,SUR,2019,1,0.5,0.5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0.5,NA,7.5,4
Suriname,SUR,2022,0,0.5,0.5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0.5,0,6.5,4
Sweden,SWE,2015,0,1,1,0.5,0,0,0.5,0.5,NA,0.5,1,0.5,0,0,0,1,1,0.5,1,9,4
Sweden,SWE,2017,0,1,0.5,0,0.5,0,1,0.5,0,0.5,1,0.5,1,1,0,0.5,0,1,1,10,6.5
Sweden,SWE,2019,0,1,0.5,0,0.5,0,1,0.5,0,0.5,1,0.5,0.5,1,1,0.5,1,1,1,11.5,7
Sweden,SWE,2022,0,1,0.5,1,0.5,0,1,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,1,1,1,13,7.5
Switzerland,CHE,2015,0.5,1,1,0,0.5,0,0.5,0,NA,0.5,0.5,0,1,1,NA,1,1,NA,NA,8.5,5
Switzerland,CHE,2017,0,1,0.5,1,0.5,0,0.5,0,1,0,0,0.5,0.5,1,1,0.5,1,1,1,11,5.5
Switzerland,CHE,2019,0,1,0.5,0,0.5,0,0.5,0,1,0,1,0,0.5,1,1,0.5,1,1,1,10.5,6
Switzerland,CHE,2022,0,1,0.5,0,0.5,0,0.5,0,0,0,1,0,1,1,1,0.5,1,1,1,10,5.5
